Страна,Код
Россия,ru
Франция,fr
Германия,de
Италия,it
Испания,es
США,us
Канада,ca
Бразилия,br
Китай,cn
Япония,jp
Великобритания,gb
Индия,in
Мексика,mx
Аргентина,ar
Австралия,au
Южная Корея,kr
ЮАР,za
Нидерланды,nl
Бельгия,be
Швеция,se
Норвегия,no
Финляндия,fi
Дания,dk
Польша,pl
Чехия,cz
Австрия,at
Швейцария,ch
Португалия,pt
Греция,gr
Турция,tr
Египет,eg
Саудовская Аравия,sa
Израиль,il
Иран,ir
Ирак,iq
Пакистан,pk
Бангладеш,bd
Индонезия,id
Малайзия,my
Таиланд,th
Сингапур,sg
Филиппины,ph
Вьетнам,vn
Новая Зеландия,nz
Украина,ua
Казахстан,kz
Беларусь,by
Грузия,ge
Армения,am
Азербайджан,az
Эстония,ee
Латвия,lv
Литва,lt
Сербия,rs
Хорватия,hr
Словения,si
Словакия,sk
Болгария,bg
Румыния,ro
Черногория,me
Северная Македония,mk
Албания,al
Мальта,mt
Кипр,cy
Исландия,is
